,index,_id,timestamp,sensor,target,groups,power
763,763,666f86b6865639045c05dd9e,2024-06-17 00:43:34.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 15152316416.0, 'time_enabled': 14001432091.0, 'time_running': 14001432091.0}}}}",15152.316416
764,764,666f86b7865639045c05dd9f,2024-06-17 00:43:35.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 22298427392.0, 'time_enabled': 15001537609.0, 'time_running': 15001537609.0}}}}",22298.427392
765,765,666f86b8865639045c05dda0,2024-06-17 00:43:36.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25562251264.0, 'time_enabled': 16001680046.0, 'time_running': 16001680046.0}}}}",25562.251264
766,766,666f86b9865639045c05dda1,2024-06-17 00:43:37.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19777585152.0, 'time_enabled': 17001770515.0, 'time_running': 17001770515.0}}}}",19777.585152
767,767,666f86ba865639045c05dda2,2024-06-17 00:43:38.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 18391040000.0, 'time_enabled': 18001860203.0, 'time_running': 18001860203.0}}}}",18391.04
768,768,666f86bb865639045c05dda3,2024-06-17 00:43:39.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 25091178496.0, 'time_enabled': 19002008631.0, 'time_running': 19002008631.0}}}}",25091.178496
769,769,666f86bc865639045c05dda4,2024-06-17 00:43:40.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 19133235200.0, 'time_enabled': 20002118286.0, 'time_running': 20002118286.0}}}}",19133.2352
770,770,666f86bd865639045c05dda5,2024-06-17 00:43:41.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21224685568.0, 'time_enabled': 21002210990.0, 'time_running': 21002210990.0}}}}",21224.685568
771,771,666f86be865639045c05dda6,2024-06-17 00:43:42.402,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 21597913088.0, 'time_enabled': 22002317229.0, 'time_running': 22002317229.0}}}}",21597.913088
772,772,666f86bf865639045c05dda7,2024-06-17 00:43:43.403,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 32684113920.0, 'time_enabled': 23002389804.0, 'time_running': 23002389804.0}}}}",32684.11392
